sample_id,species,batch,treatment,ultrasound
567,T. molitor,1,C,0
568,T. molitor,1,C,0
569,T. molitor,1,C,0
570,T. molitor,1,C,0
571,T. molitor,1,C,0
572,T. molitor,1,C,0
573,T. molitor,1,C,0
574,T. molitor,1,C,0
575,T. molitor,1,C,0
576,T. molitor,1,C,0
577,T. molitor,1,C,0
578,T. molitor,1,C,0
579,T. molitor,1,C,0
580,T. molitor,1,C,0
581,T. molitor,1,C,0
582,T. molitor,1,C,0
583,T. molitor,1,C,0
584,T. molitor,1,C,0
585,T. molitor,1,C,0
586,T. molitor,1,C,0
587,T. molitor,1,C,0
588,T. molitor,1,C,0
589,T. molitor,1,C,0
590,T. molitor,1,C,0
591,T. molitor,1,C,0
592,T. molitor,1,C,0
593,T. molitor,1,C,0
594,T. molitor,1,C,0
595,T. molitor,1,C,0
596,T. molitor,1,C,0
597,T. molitor,1,C,0
598,T. molitor,1,C,0
599,T. molitor,1,C,0
600,H. illucens,1,A,1
601,H. illucens,1,A,1
602,H. illucens,1,A,1
603,H. illucens,1,A,1
604,H. illucens,1,A,1
605,H. illucens,1,A,1
606,H. illucens,1,A,1
607,H. illucens,1,A,1
608,H. illucens,1,A,1
609,H. illucens,1,A,1
610,H. illucens,1,A,1
611,H. illucens,1,A,1
612,H. illucens,1,A,1
613,H. illucens,1,A,1
614,H. illucens,1,A,1
615,H. illucens,1,A,1
616,H. illucens,1,A,1
617,H. illucens,1,A,1
618,H. illucens,1,A,1
619,H. illucens,1,A,1
620,H. illucens,1,A,1
621,H. illucens,1,A,1
622,H. illucens,1,A,1
623,H. illucens,1,A,1
624,H. illucens,1,A,1
625,H. illucens,1,A,1
626,H. illucens,1,A,1
627,H. illucens,1,A,1
628,H. illucens,1,A,1
629,H. illucens,1,A,1
630,H. illucens,1,A,1
631,H. illucens,1,A,1
632,H. illucens,1,A,1
633,H. illucens,1,A,1
634,H. illucens,1,A,1
635,H. illucens,1,A,1
636,H. illucens,1,A,1
637,H. illucens,1,A,1
638,H. illucens,1,A,1
639,H. illucens,1,A,1
640,H. illucens,1,A,1
641,H. illucens,1,A,1
642,H. illucens,1,A,1
643,H. illucens,1,A,1
644,H. illucens,1,A,1
645,H. illucens,1,A,1
646,H. illucens,1,A,1
647,H. illucens,1,A,1
648,H. illucens,1,A,1
649,H. illucens,1,A,1
650,H. illucens,1,A,0
651,H. illucens,1,A,0
652,H. illucens,1,A,0
653,H. illucens,1,A,0
654,H. illucens,1,A,0
655,H. illucens,1,A,0
656,H. illucens,1,A,0
657,H. illucens,1,A,0
658,H. illucens,1,A,0
659,H. illucens,1,A,0
660,H. illucens,1,A,0
661,H. illucens,1,A,0
662,H. illucens,1,A,0
663,H. illucens,1,A,0
664,H. illucens,1,A,0
665,H. illucens,1,A,0
666,H. illucens,1,A,0
667,H. illucens,1,A,0
668,H. illucens,1,A,0
669,H. illucens,1,A,0
670,H. illucens,1,A,0
671,H. illucens,1,A,0
672,H. illucens,1,A,0
673,H. illucens,1,A,0
674,H. illucens,1,A,0
675,H. illucens,1,A,0
676,H. illucens,1,A,0
677,H. illucens,1,A,0
678,H. illucens,1,A,0
679,H. illucens,1,A,0
680,H. illucens,1,A,0
681,H. illucens,1,A,0
682,H. illucens,1,A,0
683,H. illucens,1,A,0
684,H. illucens,1,A,0
685,H. illucens,1,A,0
686,H. illucens,1,A,0
687,H. illucens,1,A,0
688,H. illucens,1,A,0
689,H. illucens,1,A,0
690,H. illucens,1,A,0
691,H. illucens,1,A,0
692,H. illucens,1,A,0
693,H. illucens,1,A,0
694,H. illucens,1,A,0
695,H. illucens,1,A,0
696,H. illucens,1,A,0
697,H. illucens,1,A,0
698,H. illucens,1,A,0
699,H. illucens,1,A,0
700,H. illucens,1,B,1
701,H. illucens,1,B,1
702,H. illucens,1,B,1
703,H. illucens,1,B,1
704,H. illucens,1,B,1
705,H. illucens,1,B,1
706,H. illucens,1,B,1
707,H. illucens,1,B,1
708,H. illucens,1,B,1
709,H. illucens,1,B,1
710,H. illucens,1,B,1
711,H. illucens,1,B,1
712,H. illucens,1,B,1
713,H. illucens,1,B,1
714,H. illucens,1,B,1
715,H. illucens,1,B,1
716,H. illucens,1,B,1
717,H. illucens,1,B,1
718,H. illucens,1,B,1
719,H. illucens,1,B,1
720,H. illucens,1,B,1
721,H. illucens,1,B,1
722,H. illucens,1,B,1
723,H. illucens,1,B,1
724,H. illucens,1,B,1
725,H. illucens,1,B,1
726,H. illucens,1,B,1
727,H. illucens,1,B,1
728,H. illucens,1,B,1
729,H. illucens,1,B,1
730,H. illucens,1,B,1
731,H. illucens,1,B,1
732,H. illucens,1,B,1
733,H. illucens,1,B,1
734,H. illucens,1,B,1
735,H. illucens,1,B,1
736,H. illucens,1,B,1
737,H. illucens,1,B,1
738,H. illucens,1,B,1
739,H. illucens,1,B,1
740,H. illucens,1,B,1
